n_estimators,max_depth,min_samples_split,min_samples_leaf,criterion,threshold,split_method,accuracy,f1,train_time,dataset
5,5,2,1,gini,0.4,roulette,0.9736842105263158,0.9717813051146384,0.13203835487365723,iris.csv
5,5,2,1,entropy,0.4,roulette,0.9736842105263158,0.9717813051146384,0.16804242134094238,iris.csv
5,5,5,1,gini,0.4,roulette,0.9473684210526315,0.9440559440559442,0.1320350170135498,iris.csv
5,5,5,1,entropy,0.4,roulette,0.9736842105263158,0.9717813051146384,0.22796130180358887,iris.csv
5,10,2,1,gini,0.4,roulette,0.9736842105263158,0.9717813051146384,0.15201210975646973,iris.csv
5,10,2,1,entropy,0.4,roulette,0.9736842105263158,0.9717813051146384,0.18000125885009766,iris.csv
5,10,5,1,gini,0.4,roulette,0.9736842105263158,0.9717813051146384,0.1479964256286621,iris.csv
5,10,5,1,entropy,0.4,roulette,0.9736842105263158,0.9717813051146384,0.1839756965637207,iris.csv
10,5,2,1,gini,0.4,roulette,0.9736842105263158,0.9717813051146384,0.2640078067779541,iris.csv
10,5,2,1,entropy,0.4,roulette,0.9736842105263158,0.9717813051146384,0.39595627784729004,iris.csv
10,5,5,1,gini,0.4,roulette,0.9736842105263158,0.9717813051146384,0.26799631118774414,iris.csv
10,5,5,1,entropy,0.4,roulette,0.9736842105263158,0.9717813051146384,0.3240013122558594,iris.csv
10,10,2,1,gini,0.4,roulette,0.9473684210526315,0.9440559440559442,0.2560403347015381,iris.csv
10,10,2,1,entropy,0.4,roulette,0.9736842105263158,0.9717813051146384,0.38192296028137207,iris.csv
10,10,5,1,gini,0.4,roulette,0.9736842105263158,0.9717813051146384,0.2743687629699707,iris.csv
10,10,5,1,entropy,0.4,roulette,0.9736842105263158,0.9717813051146384,0.3493537902832031,iris.csv
